,n,W,best_value,weight
0,50,10300,16109,10021
1,50,117875,160565,117247
2,100,22447,27510,17096
3,100,226048,320108,218727
4,200,50379,34664,20892
5,200,528543,359052,290062
6,500,122931,38793,28530
7,500,1173613,394789,287111
8,1000,253445,38655,29143
9,1000,2499330,398402,283370
10,2000,488377,42787,29552
11,2000,4938250,464693,354332
12,5000,1262161,40568,29417
13,5000,12318545,398905,263327
14,10000,2485983,43202,34262
15,10000,24740343,425514,321995
16,50,12109,12408,12103
17,50,122091,127828,121141
18,100,25391,25461,25366
19,100,237437,241031,237180
20,200,48216,37058,36452
21,200,528346,358608,353171
22,500,126185,43051,43520
23,500,1225724,411955,408870
24,1000,252894,42255,41306
25,1000,2466976,386949,371195
26,2000,479825,40209,39601
27,2000,4997596,403448,396629
28,5000,1232843,42991,41750
29,5000,12491742,414929,400169
30,10000,2490338,43916,43059
31,10000,24620468,460687,441646
32,50,12026,14768,11868
33,50,127092,155476,126476
34,100,25372,30233,25233
35,100,262638,307396,260396
36,200,48728,40995,35195
37,200,511700,379219,321219
38,500,125854,44547,37047
39,500,1256892,480395,410395
40,1000,244152,48570,40670
41,1000,2475931,445294,372294
42,2000,491949,45034,38334
43,2000,4947362,463838,395838
44,5000,1231316,45907,38507
45,5000,12431543,487423,416423
46,10000,2474708,48766,41566
47,10000,24778788,439687,369687
48,50,14542,12737,14537
49,50,137183,117761,136761
50,100,31238,26736,31136
51,100,289328,242869,288869
52,200,61030,39920,46520
53,200,580756,362787,424787
54,500,149258,37532,44232
55,500,1478409,373183,437183
56,1000,299702,43050,49950
57,1000,2989588,416923,487923
58,2000,608825,39454,46054
59,2000,5984020,432841,502841
60,5000,1488958,43057,50157
61,5000,14989246,371983,432983
62,10000,2997536,39080,45980
63,10000,29784393,420716,488716
64,50,13391,16244,13343
65,50,116210,144522,115639
66,100,22807,27486,22683
67,100,247996,296735,247789
68,200,47141,38634,32617
69,200,522874,461311,395215
70,500,125430,48039,40950
71,500,1257367,444669,377672
72,1000,245972,45385,37970
73,1000,2409652,439621,372706
74,2000,504356,45488,38893
75,2000,4948307,489578,418615
76,5000,1232334,54361,46342
77,5000,12436906,481294,413255
78,10000,2478245,52682,45070
79,10000,24678272,503663,430587
80,50,13275,13243,13243
81,50,142283,142175,142175
82,100,27381,27320,27320
83,100,227450,226520,226520
84,200,49263,36191,36191
85,200,498185,331751,331751
86,500,124045,36869,36869
87,500,1168924,343706,343706
88,1000,259128,41460,41460
89,1000,2494539,450045,450045
90,2000,486908,38847,38847
91,2000,5022794,411815,411815
92,5000,1237696,37999,37999
93,5000,12354450,450938,450938
94,10000,2508671,41477,41477
95,10000,24885625,427991,427991
96,50,2476378,17075,2301060
97,50,2476497,15550,2401109
98,100,4952931,30837,4502147
99,100,4952771,29210,4802024
100,200,9905721,38239,6202764
101,200,9905915,35337,5702518
102,500,24764201,40837,6102698
103,500,24764553,39542,6202945
104,1000,49529677,39613,5702649
105,1000,49530184,39468,6302929
106,2000,99059153,39604,6002891
107,2000,99059283,43416,6702673
108,5000,247647409,39670,6502719
109,5000,247647990,44096,7102642
110,10000,495295604,42686,5902533
111,10000,495297789,42515,6503220
112,50,936,14750,930
113,50,68062,43341,66936
114,100,14008,18331,13961
115,100,120087,151660,61933
116,200,28069,4774,19926
117,200,341040,56800,228011
118,500,63093,19175,20381
119,500,433722,299624,126514
120,1000,36317,27068,5888
121,1000,1173992,251837,162579
122,2000,168816,10989,12174
123,2000,2137224,160988,157562
124,5000,1019750,32880,31217
125,5000,5688416,269695,173694
126,10000,909243,29866,12807
127,10000,12723787,156210,216990
128,50,4165,10499,4125
129,50,54196,136517,54162
130,100,13019,24438,13006
131,100,58090,67599,57759
132,200,29325,11063,20163
133,200,115881,92957,80315
134,500,18048,31500,5604
135,500,667395,311748,179307
136,1000,140583,27143,14544
137,1000,905208,199784,150764
138,2000,309874,21430,20694
139,2000,2937574,377381,264770
140,5000,730223,45816,25146
141,5000,7894078,210310,227088
142,10000,355129,31622,5578
143,10000,13172309,318780,187672
144,50,7975,25182,7882
145,50,118574,258568,118568
146,100,16036,48208,16008
147,100,203219,522970,202970
148,200,22260,51021,15321
149,200,172608,493173,112173
150,500,17569,45298,4298
151,500,480555,559074,141074
152,1000,28635,46701,4401
153,1000,1636244,684493,245493
154,2000,184666,57060,14160
155,2000,3249458,733001,266001
156,5000,713952,64592,19992
157,5000,8145899,655081,235081
158,10000,1455131,70630,26130
159,10000,16477113,705828,254828
160,50,11178,17962,11062
161,50,105654,171177,105177
162,100,28140,39435,27735
163,100,237432,357332,237332
164,200,51558,52131,37931
165,200,518496,533076,384076
166,500,119562,57846,41846
167,500,1280250,549714,395714
168,1000,248652,50828,36128
169,1000,2421636,566626,409626
170,2000,493824,52173,36873
171,2000,4878870,588593,439593
172,5000,1263396,60274,43274
173,5000,12436902,611670,445670
174,10000,2477286,56592,39392
175,10000,24605208,609472,440472
176,50,11254,11229,11251
177,50,122529,122403,122421
178,100,26067,26001,26037
179,100,274398,273642,273683
180,200,48558,33150,33205
181,200,474831,346515,346576
182,500,124021,42294,42362
183,500,1181595,344244,344305
184,1000,259128,43038,43101
185,1000,2510981,380799,380869
186,2000,497414,41619,41690
187,2000,4864597,382026,382103
188,5000,1238187,39531,39604
189,5000,12324842,404997,405064
190,10000,2495661,40050,40117
191,10000,24787545,405867,405939
192,50,12609,265677,12609
193,50,115048,7653340,114806
194,100,25340,533650,25327
195,100,243435,16210100,243164
196,200,49765,798249,37885
197,200,492189,24744729,371190
198,500,121904,860978,40862
199,500,1281301,24956716,374370
200,1000,250529,949728,45074
201,1000,2481254,25361033,380435
202,2000,497482,936288,44436
203,2000,4987974,27128539,406949
204,5000,1232843,920041,43665
205,5000,12370620,29395227,440951
206,10000,2490791,806513,38277
207,10000,24998413,27296204,409464
